"","binary","cwe_checker","yara_rules","cve_bin_tool","size","compiler","static"
"305","mount",23,0,0,55528,"Unk","FALSE"
"306","mousepad",36,0,0,338960,"Unk","FALSE"
"307","mpg123.bin",113,1,0,158280,"Unk","FALSE"
"308","mpris-proxy",15,0,0,96704,"Unk","FALSE"
"309","mpstat",69,0,0,63808,"Unk","FALSE"
"310","msrpcfuzz",130,2,0,68104,"Unk","FALSE"
"311","msrpcfuzz_udp",130,2,0,68104,"Unk","FALSE"
"312","mt-gnu",105,0,77,80512,"Unk","FALSE"
"313","mv",94,0,0,137440,"Unk","FALSE"
"314","myisamchk",511,1,0,3994880,"Unk","FALSE"
"315","myisamlog",446,1,0,3857920,"Unk","FALSE"
"316","myisampack",471,1,0,3892352,"Unk","FALSE"
"317","myisam_ftdump",463,1,0,3871296,"Unk","FALSE"
"318","my_print_defaults",242,1,0,3591328,"Unk","FALSE"
"319","nano",319,0,0,245872,"gcc(Alpine)","FALSE"
"320","nasm",1161,2,0,1739352,"Unk","FALSE"
"321","ncdu",138,1,0,403280,"gcc(GNU)","TRUE"
"322","ncrack",585,10,25,667200,"gcc(3.X)","FALSE"
"323","ndisasm",29,0,0,1300696,"Unk","FALSE"
"324","net",374,2,6,973856,"Unk","FALSE"
"325","netkit-ftp",50,0,0,102008,"Unk","FALSE"
"326","netstat",138,0,0,154192,"Unk","FALSE"
"327","networkctl",15,0,0,96480,"Unk","FALSE"
"328","nl",138,0,0,113696,"Unk","FALSE"
"329","nm",289,4,0,1176248,"gcc(GNU)","TRUE"
"330","nm-applet",33,0,0,250784,"Unk","FALSE"
"331","nm-connection-editor",25,0,0,787752,"Unk","FALSE"
"332","nmap_centos5",1046,4,0,9461651,"gcc(3.X)","TRUE"
"333","nmblookup",42,0,6,141632,"Unk","FALSE"
"334","nmcli",330,2,0,925640,"Unk","FALSE"
"335","nmtui",183,1,0,727600,"Unk","FALSE"
"336","nslookup",75,0,0,109216,"Unk","FALSE"
"337","nstat",34,0,0,80112,"Unk","FALSE"
"338","nsupdate",102,0,0,72064,"Unk","FALSE"
"339","ntfs-3g",92,1,0,146128,"Unk","FALSE"
"340","ntfsdecrypt",12,0,0,51320,"Unk","FALSE"
"341","ntfsinfo",5,0,0,55416,"Unk","FALSE"
"342","ntfsrecover",146,0,0,116840,"Unk","FALSE"
"343","ntfswipe",19,0,0,51848,"Unk","FALSE"
"344","ntlm2",184,2,0,81368,"Unk","FALSE"
"345","ntlm_brute",180,2,0,81336,"Unk","FALSE"
"346","ntpdc",24,0,0,153736,"Unk","FALSE"
"347","ntpq",108,0,0,192680,"Unk","FALSE"
"348","numfmt",42,0,0,68576,"Unk","FALSE"
"349","obexctl",58,0,0,182576,"Unk","FALSE"
"350","objcopy",124,4,0,1343096,"gcc(GNU)","TRUE"
"351","objdump",146,4,0,2282744,"gcc(GNU)","TRUE"
"352","od",35,0,0,72640,"Unk","FALSE"
"353","onesixtyone",9,0,0,161952,"Unk","FALSE"
"354","openfortivpn",97,0,18,108616,"Unk","FALSE"
"355","openssl",113,3,5,736792,"Unk","FALSE"
"356","ophcrack",312,3,0,441448,"gcc(3.X)","FALSE"
"357","ophcrack-cli",283,3,0,154568,"Unk","FALSE"
"358","out123",72,0,0,67760,"Unk","FALSE"
"359","pacat",3,0,0,51472,"Unk","FALSE"
"360","packetforge-ng",71,3,0,76008,"Unk","FALSE"
"361","packetq",87,2,0,535688,"gcc(Alpine)","FALSE"
