,binary,cwe_checker,yara_rules,cve_bin_tool,size,compiler,static,domain
438,samba-regedit,22,0,6,101464,Unk,FALSE,System
439,sane-find-scanner,102,0,0,142184,Unk,FALSE,System
440,sar.sysstat,139,0,0,148816,Unk,FALSE,System
441,sb,12,2,0,79296,Unk,FALSE,Network
442,sbd,20,0,0,51824,Unk,FALSE,Network
443,scalpel,81,0,0,55288,Unk,FALSE,System
444,scanimage,54,0,0,52184,Unk,FALSE,System
445,scp,134,2,0,116880,Unk,FALSE,Network
446,screen,507,1,0,482312,Unk,FALSE,Network
447,script,19,0,0,67816,Unk,FALSE,System
448,scriptlive,18,0,0,55528,Unk,FALSE,System
449,sdptool,63,0,0,255088,Unk,FALSE,Network
450,sed,66,0,0,109000,Unk,FALSE,System
451,sendmsrpc,126,2,0,64008,Unk,FALSE,Network
452,seq,41,0,0,56192,Unk,FALSE,System
453,sftp,170,2,0,174440,Unk,FALSE,Network
454,sha1deep,188,5,0,244120,gcc(3.X),FALSE,System
457,sha256deep,188,5,0,244120,gcc(3.X),FALSE,System
459,sha384sum,16,2,0,68512,Unk,FALSE,System
461,sharkd,29,0,0,165968,Unk,FALSE,Network
462,shred,45,0,0,64608,Unk,FALSE,System
463,shuf,22,0,0,60384,Unk,FALSE,System
464,size,282,4,0,1166520,gcc(GNU),TRUE,System
465,skipfish,650,1,0,303136,Unk,FALSE,Network
466,smbclient,46,0,6,153936,Unk,FALSE,Network
467,smbcontrol,21,0,6,60016,Unk,FALSE,Network
468,snmpnetstat,115,0,0,74280,Unk,FALSE,Network
469,socat,52,0,0,375176,gcc(Alpine),FALSE,Network
470,sort,70,1,0,118408,Unk,FALSE,System
471,speech-dispatcher,61,0,0,170248,Unk,FALSE,System
472,split,29,0,0,60896,Unk,FALSE,System
473,spooftooph,116,0,0,57616,Unk,TRUE,Network
474,sqldiff,1117,4,0,1323024,Unk,FALSE,System
475,sqlite3,1558,5,0,1603696,Unk,FALSE,System
476,sqsh,97,1,0,307272,Unk,FALSE,System
477,ss,114,0,0,139904,Unk,FALSE,Network
478,ssh,402,5,44,797480,Unk,FALSE,Network
483,sslsplit,127,0,11,206856,Unk,FALSE,Network
485,stat,91,0,0,85184,Unk,FALSE,System
487,stdbuf,34,0,0,52064,Unk,FALSE,System
488,strace,18,0,0,346592,gcc(GNU),TRUE,System
489,strings,291,4,0,1166840,gcc(GNU),TRUE,System
490,stty,46,0,0,75992,Unk,FALSE,System
491,stunnel4,556,0,23,200472,Unk,FALSE,Network
492,su,41,0,0,71912,Unk,FALSE,System
493,sudo,39,0,0,182600,Unk,FALSE,System
494,sudoreplay,40,3,0,118160,Unk,FALSE,System
495,sunrpcfuzz,120,2,0,64056,Unk,FALSE,Network
496,svn,50,3,0,440616,Unk,FALSE,Network
497,svnadmin,2,0,0,137448,Unk,FALSE,Network
498,svnbench,4,0,0,71912,Unk,FALSE,Network
499,svnlook,4,0,0,92392,Unk,FALSE,Network
500,svnrdump,6,0,0,55528,Unk,FALSE,Network
501,svnserve,9,0,0,108840,Unk,FALSE,Network
502,sx,12,2,0,79296,Unk,FALSE,System
503,systemctl,135,0,13,182352,Unk,FALSE,System
504,systemd-analyze,621,1,0,1694296,Unk,FALSE,System
510,sz,12,2,0,79296,Unk,FALSE,Network
511,tac,134,0,0,109536,Unk,FALSE,System
512,tail,26,0,0,76864,Unk,FALSE,System
513,tapestat,38,0,0,51520,Unk,FALSE,System
514,tar,443,2,73,423312,Unk,FALSE,System
515,tbl,71,0,0,145768,gcc(3.X),FALSE,System
516,tcpbridge,386,0,0,321664,Unk,FALSE,Network
517,tcpcapinfo,182,0,0,148416,Unk,FALSE,Network
518,tcpdump,33,0,0,1123132,gcc(Alpine),FALSE,Network
519,tcpliveplay,220,0,0,185568,Unk,FALSE,Network
520,tcpprep,282,0,0,232928,Unk,FALSE,Network
521,tcpreplay,275,0,0,254240,Unk,FALSE,Network
523,tcprewrite,345,0,0,300864,Unk,FALSE,Network
524,telnet.netkit,111,0,0,116120,gcc(-),FALSE,Network
525,test,30,0,0,56128,Unk,FALSE,System
526,testdisk,179,2,0,406608,Unk,FALSE,System
527,text2pcap,26,1,0,55464,Unk,FALSE,System
